# TIME, TIK, DC, UA, U1, IL, Iset, ERROR
3.242027544975280762e+01,0.000000000000000000e+00,1.560000000000000000e+02,8.900000000000000133e-01,1.209999999999999964e+00,2.341000000000000014e+01,2.439999999999999858e+01,9.899999999999999911e-01
3.288400483131408691e+01,0.000000000000000000e+00,1.570000000000000000e+02,8.900000000000000133e-01,1.219999999999999973e+00,2.351000000000000156e+01,2.439999999999999858e+01,8.900000000000000133e-01
3.335029911994934082e+01,0.000000000000000000e+00,1.580000000000000000e+02,9.000000000000000222e-01,1.219999999999999973e+00,2.341000000000000014e+01,2.439999999999999858e+01,9.899999999999999911e-01
3.383663797378540039e+01,0.000000000000000000e+00,1.580000000000000000e+02,9.000000000000000222e-01,1.229999999999999982e+00,2.366000000000000014e+01,2.439999999999999858e+01,7.399999999999999911e-01
3.422589135169982910e+01,0.000000000000000000e+00,1.590000000000000000e+02,9.000000000000000222e-01,1.229999999999999982e+00,2.385000000000000142e+01,2.439999999999999858e+01,5.500000000000000444e-01
3.473373413085937500e+01,0.000000000000000000e+00,1.590000000000000000e+02,9.000000000000000222e-01,1.229999999999999982e+00,2.380000000000000071e+01,2.439999999999999858e+01,5.999999999999999778e-01
3.520323133468627930e+01,0.000000000000000000e+00,1.600000000000000000e+02,9.000000000000000222e-01,1.229999999999999982e+00,2.400000000000000000e+01,2.439999999999999858e+01,4.000000000000000222e-01
3.555177569389343262e+01,0.000000000000000000e+00,1.600000000000000000e+02,9.000000000000000222e-01,1.229999999999999982e+00,2.385000000000000142e+01,2.439999999999999858e+01,5.500000000000000444e-01
3.605488872528076172e+01,0.000000000000000000e+00,1.600000000000000000e+02,9.100000000000000311e-01,1.239999999999999991e+00,2.419000000000000128e+01,2.439999999999999858e+01,2.099999999999999922e-01
3.651033687591552734e+01,0.000000000000000000e+00,1.610000000000000000e+02,9.100000000000000311e-01,1.239999999999999991e+00,2.385000000000000142e+01,2.439999999999999858e+01,5.500000000000000444e-01
